timepoint,colony.id,frag.id,Treatment,Colormorph,sym.density
06/09/17,B1,174,Shallow,Red,5542085.648
06/09/17,B1,144,Shade,Red,43895733.84
06/09/17,B2,170,Shallow,Red,13849904.73
06/09/17,B2,183,Shade,Red,3203685.186
06/09/17,B3,26,Shallow,Red,4091975.783
06/09/17,B3,7,Shade,Red,3875568.045
06/09/17,B4,19,Shallow,Red,1929253.886
06/09/17,B4,2,Shade,Red,5432661.821
06/09/17,B5,198,Shallow,Red,5451717.718
06/09/17,B5,158,Shade,Red,6586490.111
06/09/17,B6,166,Shallow,Red,1104961.184
06/09/17,B6,65,Shade,Red,1316506.265
06/09/17,O7,20,Shallow,Orange,2072255.867
06/09/17,O7,290,Shade,Orange,3183455.9
06/09/17,O8,163,Shallow,Orange,8346495.289
06/09/17,O8,58,Shade,Orange,11058966.72
06/09/17,O9,281,Shallow,Orange,7080833.23
06/09/17,O9,53,Shade,Orange,9170632.346
06/09/17,O10,136,Shallow,Orange,4211728.457
06/09/17,O10,287,Shade,Orange,9585779.204
06/09/17,O11,101,Shallow,Orange,3856234.062
06/09/17,O11,101.1,Shade,Orange,5550592.565
06/09/17,O12,164,Shallow,Orange,4615961.277
06/09/17,O12,215,Shade,Orange,4308687.783
06/09/17,O13,154,Shallow,Orange,8078989.078
06/09/17,O13,202,Shade,Orange,23009603.44
06/23/17,B1,174,Shallow,Red,2461708.193
06/23/17,B1,144,Shade,Red,12315809.52
06/23/17,B2,170,Shallow,Red,7554730.74
06/23/17,B2,183,Shade,Red,6005844.649
06/23/17,B3,26,Shallow,Red,1002138.07
06/23/17,B3,7,Shade,Red,3324475.604
06/23/17,B4,19,Shallow,Red,1064965.982
06/23/17,B4,2,Shade,Red,2489216.491
06/23/17,B5,198,Shallow,Red,2447498.315
06/23/17,B5,158,Shade,Red,5472070.58
06/23/17,B6,166,Shallow,Red,1062036.943
06/23/17,B6,65,Shade,Red,2458897.134
06/23/17,O7,20,Shallow,Orange,12344863.51
06/23/17,O7,290,Shade,Orange,13879812.03
06/23/17,O8,163,Shallow,Orange,7115682.835
06/23/17,O8,58,Shade,Orange,3476463.659
06/23/17,O9,281,Shallow,Orange,3910019.041
06/23/17,O9,53,Shade,Orange,4179469.389
06/23/17,O10,136,Shallow,Orange,2888179.102
06/23/17,O10,287,Shade,Orange,4821198.087
06/23/17,O11,101,Shallow,Orange,1690453.224
06/23/17,O11,101.1,Shade,Orange,2378832.029
06/23/17,O12,164,Shallow,Orange,1306081.542
06/23/17,O12,215,Shade,Orange,2041910.397
06/23/17,O13,154,Shallow,Orange,9431768.945
06/23/17,O13,202,Shade,Orange,13338748.09
07/07/17,B1,174,Shallow,Red,5752628.169
07/07/17,B1,144,Shade,Red,7511940.947
07/07/17,B2,170,Shallow,Red,5551425.031
07/07/17,B2,183,Shade,Red,11042091.51
07/07/17,B3,26,Shallow,Red,10931012.26
07/07/17,B3,7,Shade,Red,8489593.402
07/07/17,B4,19,Shallow,Red,3977492.706
07/07/17,B4,2,Shade,Red,6242333.976
07/07/17,B5,198,Shallow,Red,6657719.485
07/07/17,B5,158,Shade,Red,11315097.17
07/07/17,B6,166,Shallow,Red,6526333.587
07/07/17,B6,65,Shade,Red,5151590.846
07/07/17,O7,20,Shallow,Orange,3242623.818
07/07/17,O7,290,Shade,Orange,15326716.08
07/07/17,O8,163,Shallow,Orange,22142305.18
07/07/17,O8,58,Shade,Orange,23510785.67
07/07/17,O9,281,Shallow,Orange,9046923.183
07/07/17,O9,53,Shade,Orange,7780005.942
07/07/17,O10,136,Shallow,Orange,7049949.561
07/07/17,O10,287,Shade,Orange,3683307.783
07/07/17,O11,101,Shallow,Orange,14860603.79
07/07/17,O11,101.1,Shade,Orange,6979484.282
07/07/17,O12,164,Shallow,Orange,6963397.069
07/07/17,O12,215,Shade,Orange,9148954.548
07/07/17,O13,154,Shallow,Orange,13578635.9
07/07/17,O13,202,Shade,Orange,22122509.99
07/28/17,B1,174,Shallow,Red,1780540.228
07/28/17,B1,144,Shade,Red,4582013.959
07/28/17,B2,170,Shallow,Red,1339466.056
07/28/17,B2,183,Shade,Red,4898359.05
07/28/17,B3,26,Shallow,Red,1373864.018
07/28/17,B3,7,Shade,Red,2234515.222
07/28/17,B4,19,Shallow,Red,993678.3635
07/28/17,B4,2,Shade,Red,3205994.581
07/28/17,B5,198,Shallow,Red,1022119.719
07/28/17,B5,158,Shade,Red,6698335.916
07/28/17,B6,166,Shallow,Red,667102.1361
07/28/17,B6,65,Shade,Red,3290185.078
07/28/17,O7,20,Shallow,Orange,298486.1723
07/28/17,O7,290,Shade,Orange,2080208.879
07/28/17,O8,163,Shallow,Orange,3290278.037
07/28/17,O8,58,Shade,Orange,12635488.98
07/28/17,O9,281,Shallow,Orange,2486292.193
07/28/17,O9,53,Shade,Orange,2035409.237
07/28/17,O10,136,Shallow,Orange,2225224.327
07/28/17,O10,287,Shade,Orange,9965539.496
07/28/17,O11,101,Shallow,Orange,1267572.974
07/28/17,O11,101.1,Shade,Orange,1112497.788
07/28/17,O12,164,Shallow,Orange,930070.6405
07/28/17,O12,215,Shade,Orange,1413148.203
07/28/17,O13,154,Shallow,Orange,2309486.247
07/28/17,O13,202,Shade,Orange,3127624.966
